,auth_id,name,last_name,citations,cited_by,publications,orcid
6471,57197830294,Susana,Martin,0.0,0,1.0,
6472,6602225739,S.,Heineman,1.0,1,1.0,
6473,56732988700,Juana,Prez-Arias,0.0,0,1.0,
6474,6504778081,F.,Ghaloul,1.0,1,1.0,
6475,57200821892,David,Cruz,1.0,1,1.0,
6476,57195305145,Susana Mora,Alonso-Muñoyerro,0.0,0,1.0,
6477,15746163400,B.,Calvo Pérez,24.0,24,2.0,
6478,56358246300,M. A.,Gonzalez-Hernández,0.0,0,1.0,
6479,7101762640,Jose Luis Sanchez,Rojas,0.0,0,1.0,
6480,6504343114,Jorge,Pacios-Martinez,2.0,2,1.0,
6481,55343481600,José Patricio,Gómez-Pérez,1.0,1,2.0,
6482,36555036100,Milanés T.,Vicente,8.0,8,2.0,
6483,56672568800,Javier Miñano,Espín,5.0,5,1.0,
6484,23111192500,Francisco Arriaga,Martitegui,7.0,7,2.0,
6485,14629128900,Ana Ángeles,Marín,17.0,17,2.0,
6486,55504408000,Ana,Vázquez Martínez De Miguel,0.0,0,2.0,
6487,6504527535,Eduardo Lopez,Rebollal,0.0,0,1.0,
6488,57202395669,M. C.,Duro,5.0,5,1.0,
6489,6504790523,Guillermo,Guénon,5.0,5,1.0,
6490,36989746400,Jerónimo,López-Salazar Codes,8.0,8,2.0,
6491,7101720330,José Cuena,Bartolomé,0.0,0,1.0,
6492,57190572564,Consuelo Fernández,Jiménez,1.0,1,1.0,
6493,57197123049,I.,Fernández,0.0,0,1.0,
6494,56387470400,S.,Henriquez,4.0,4,1.0,
6495,55017345500,Pablo Galán,Cela,21.0,19,2.0,
6496,56527423100,Emilia,Blasco Laffón,1.0,1,1.0,
6497,57201835611,Ignacio Refoyo,Roman,11.0,11,1.0,
6498,56618404000,Reinoso,Oscar,2.0,2,1.0,
6499,6503941800,C.,Dramsch,9.0,9,1.0,
6500,57002937100,Amable López,Pinero,2.0,2,1.0,
6501,57205373321,J.,De La Mata,7.0,7,1.0,
6502,57200372526,Manuel J.,Soler,0.0,0,1.0,
6503,56678916900,Eva,Gómez,0.0,0,1.0,
6504,57206720815,Manuel,Sicrra-Castaner,0.0,0,1.0,
6505,6507044448,J. J.,Gonzalez Picazo,0.0,0,0.0,
6506,57199066596,Javier,Gomez,0.0,0,1.0,
6507,57189233185,Daniel,Fernández-Avilés,6.0,6,1.0,
6508,56521730900,J.,Fernández-Tobias,5.0,5,1.0,
6509,57201291103,Beatriz,Moreno-Garcia,2.0,2,1.0,
6510,57195835360,J. Fernandez,De Toro Espejel,0.0,0,1.0,
